Number of users: 138493, number of movies: 26744
Built matching inputs: A shape (26744, 138493), C shape (26744, 138493)
b_vec shape: (26746,)
iter=121 | dual_objective=-275572.96875 | dual_grad_norm=5962.578125 | reg_penalty=430.45001220703125 | dual_val_times_grad=-13068.236328125 | max_pos_slack=2611.282470703125 | sum_pos_slack=3427.75927734375
iter=122 | dual_objective=-275667.4375 | dual_grad_norm=32583.591796875 | reg_penalty=602.02001953125 | dual_val_times_grad=113734.8125 | max_pos_slack=22802.75 | sum_pos_slack=35681.3671875
iter=123 | dual_objective=-275578.65625 | dual_grad_norm=19561.900390625 | reg_penalty=394.1317443847656 | dual_val_times_grad=-67118.875 | max_pos_slack=13424.837890625 | sum_pos_slack=13880.5888671875
iter=124 | dual_objective=-275553.4375 | dual_grad_norm=6028.11865234375 | reg_penalty=430.17779541015625 | dual_val_times_grad=-13439.537109375 | max_pos_slack=2685.770751953125 | sum_pos_slack=3387.22314453125
iter=125 | dual_objective=-275576.28125 | dual_grad_norm=4675.8017578125 | reg_penalty=442.5295104980469 | dual_val_times_grad=312.44158935546875 | max_pos_slack=66.7503662109375 | sum_pos_slack=1303.3486328125
iter=126 | dual_objective=-275565.375 | dual_grad_norm=4706.74462890625 | reg_penalty=444.0315856933594 | dual_val_times_grad=1935.130859375 | max_pos_slack=391.53704833984375 | sum_pos_slack=1669.29052734375
iter=127 | dual_objective=-275579.75 | dual_grad_norm=4677.197265625 | reg_penalty=442.6986999511719 | dual_val_times_grad=548.9314575195312 | max_pos_slack=113.96913146972656 | sum_pos_slack=1266.43017578125
iter=128 | dual_objective=-275596.875 | dual_grad_norm=4674.685546875 | reg_penalty=442.01904296875 | dual_val_times_grad=-156.14256286621094 | max_pos_slack=37.66657257080078 | sum_pos_slack=1097.563232421875
iter=129 | dual_objective=-275583.90625 | dual_grad_norm=4674.46142578125 | reg_penalty=442.00830078125 | dual_val_times_grad=-123.20879364013672 | max_pos_slack=37.62086486816406 | sum_pos_slack=1047.5146484375
iter=130 | dual_objective=-275580.5625 | dual_grad_norm=4674.20166015625 | reg_penalty=442.04376220703125 | dual_val_times_grad=-46.674835205078125 | max_pos_slack=37.57592010498047 | sum_pos_slack=992.8681640625
iter=131 | dual_objective=-275581.09375 | dual_grad_norm=4674.03857421875 | reg_penalty=442.0553894042969 | dual_val_times_grad=12.51858901977539 | max_pos_slack=37.531211853027344 | sum_pos_slack=956.0963134765625
iter=132 | dual_objective=-275579.8125 | dual_grad_norm=4673.90771484375 | reg_penalty=442.0230407714844 | dual_val_times_grad=24.85342788696289 | max_pos_slack=37.486907958984375 | sum_pos_slack=920.4520263671875
iter=133 | dual_objective=-275579.21875 | dual_grad_norm=4673.77685546875 | reg_penalty=441.9366149902344 | dual_val_times_grad=-16.179969787597656 | max_pos_slack=37.44413757324219 | sum_pos_slack=873.7570190429688
